name,regime,M,K,N,group_size,split_k,ms
baseline_dequant_matmul,decode,2,8192,8192,128,n/a,6.054464012384415
triton_store,decode,2,8192,8192,128,1,1.0504289453937894
triton_heuristic,decode,2,8192,8192,128,4,0.6171178248591889
triton_splitk,decode,2,8192,8192,128,2,0.7347020266348856
triton_splitk,decode,2,8192,8192,128,4,0.6170254354190109
baseline_dequant_matmul,decode,4,8192,8192,128,n/a,6.060160011053085
triton_store,decode,4,8192,8192,128,1,1.0587419745433762
triton_heuristic,decode,4,8192,8192,128,4,0.6218415967380727
triton_splitk,decode,4,8192,8192,128,2,0.7414119128595319
triton_splitk,decode,4,8192,8192,128,4,0.62180849367922
baseline_dequant_matmul,decode,8,8192,8192,128,n/a,6.0871680080890656
triton_store,decode,8,8192,8192,128,1,1.0725721451173347
triton_heuristic,decode,8,8192,8192,128,4,0.6346736139105272
triton_splitk,decode,8,8192,8192,128,2,0.7561508395842144
triton_splitk,decode,8,8192,8192,128,4,0.6347382187843322
baseline_dequant_matmul,decode,16,8192,8192,128,n/a,6.033885892232259
triton_store,decode,16,8192,8192,128,1,1.115520004928112
triton_heuristic,decode,16,8192,8192,128,4,0.6690766484506668
triton_splitk,decode,16,8192,8192,128,2,0.793789635653849
triton_splitk,decode,16,8192,8192,128,4,0.6693574204560249
baseline_dequant_matmul,decode,32,8192,8192,128,n/a,6.127342987060547
triton_store,decode,32,8192,8192,128,1,1.5443655494916237
triton_heuristic,decode,32,8192,8192,128,4,1.3184753200587105
triton_splitk,decode,32,8192,8192,128,2,1.3198155638049631
triton_splitk,decode,32,8192,8192,128,4,1.3186409683788525
baseline_dequant_matmul,decode,1,8192,11008,128,n/a,6.356582482655843
triton_store,decode,1,8192,11008,128,1,1.0292866687441982
triton_heuristic,decode,1,8192,11008,128,4,0.8600780767202377
triton_splitk,decode,1,8192,11008,128,2,1.0358181841233198
triton_splitk,decode,1,8192,11008,128,4,0.8593203157186509
baseline_dequant_matmul,decode,2,8192,11008,128,n/a,6.021248012781143
triton_store,decode,2,8192,11008,128,1,1.030686097986558
triton_heuristic,decode,2,8192,11008,128,4,0.8622899252176285
triton_splitk,decode,2,8192,11008,128,2,1.0387094904394711
triton_splitk,decode,2,8192,11008,128,4,0.8626688081026077
baseline_dequant_matmul,decode,4,8192,11008,128,n/a,6.1550592422485355
triton_store,decode,4,8192,11008,128,1,1.0366373889586504
triton_heuristic,decode,4,8192,11008,128,4,0.8717963719608808
triton_splitk,decode,4,8192,11008,128,2,1.0456746419270833
triton_splitk,decode,4,8192,11008,128,4,0.87118611251465
baseline_dequant_matmul,decode,8,8192,11008,128,n/a,6.119287427266439
triton_store,decode,8,8192,11008,128,1,1.049624386287871
triton_heuristic,decode,8,8192,11008,128,4,0.8895498428148093
triton_splitk,decode,8,8192,11008,128,2,1.0637385960084846
triton_splitk,decode,8,8192,11008,128,4,0.8902043565032408
baseline_dequant_matmul,decode,16,8192,11008,128,n/a,6.072593021392822
triton_store,decode,16,8192,11008,128,1,1.083554366739785
triton_heuristic,decode,16,8192,11008,128,4,0.9370700934881805
triton_splitk,decode,16,8192,11008,128,2,1.1019378091082161
triton_splitk,decode,16,8192,11008,128,4,0.9376316429466329
baseline_dequant_matmul,decode,32,8192,11008,128,n/a,6.0412159860134125
triton_store,decode,32,8192,11008,128,1,2.1772858763850014
triton_heuristic,decode,32,8192,11008,128,4,1.7224259646433704
triton_splitk,decode,32,8192,11008,128,2,1.8729168565905825
triton_splitk,decode,32,8192,11008,128,4,1.7248990400782171
baseline_dequant_matmul,prefill,128,8192,4096,128,n/a,6.023360013961792
triton_store,prefill,128,8192,4096,128,1,2.501715002833186
triton_heuristic,prefill,128,8192,4096,128,2,2.622350162929959
triton_splitk,prefill,128,8192,4096,128,2,2.6210701531834073
baseline_dequant_matmul,prefill,256,8192,4096,128,n/a,6.096511989831924
triton_store,prefill,256,8192,4096,128,1,4.976855654465525
triton_heuristic,prefill,256,8192,4096,128,1,4.9777178513376334
baseline_dequant_matmul,prefill,512,8192,4096,128,n/a,6.0799999833106995
triton_store,prefill,512,8192,4096,128,1,9.41690902709961
triton_heuristic,prefill,512,8192,4096,128,1,9.416192054748535
baseline_dequant_matmul,prefill,1024,8192,4096,128,n/a,6.068352043628693
triton_store,prefill,1024,8192,4096,128,1,18.78691864013672
triton_heuristic,prefill,1024,8192,4096,128,1,18.729369735717775
baseline_dequant_matmul,prefill,128,8192,8192,128,n/a,6.036352038383484
triton_store,prefill,128,8192,8192,128,1,4.972166814302144
triton_heuristic,prefill,128,8192,8192,128,2,4.901025646611264
triton_splitk,prefill,128,8192,8192,128,2,4.901133462002403
baseline_dequant_matmul,prefill,256,8192,8192,128,n/a,6.050201543172201
triton_store,prefill,256,8192,8192,128,1,9.406873416900634
triton_heuristic,prefill,256,8192,8192,128,1,9.406975746154785
baseline_dequant_matmul,prefill,512,8192,8192,128,n/a,6.079419740041097
triton_store,prefill,512,8192,8192,128,1,18.780364990234375
triton_heuristic,prefill,512,8192,8192,128,1,18.78097915649414
baseline_dequant_matmul,prefill,1024,8192,8192,128,n/a,6.087680021921794
triton_store,prefill,1024,8192,8192,128,1,37.52243232727051
triton_heuristic,prefill,1024,8192,8192,128,1,37.520896911621094
baseline_dequant_matmul,prefill,128,8192,11008,128,n/a,6.240191996097565
triton_store,prefill,128,8192,11008,128,1,6.838564566203526
triton_heuristic,prefill,128,8192,11008,128,2,6.789851529257638
triton_splitk,prefill,128,8192,11008,128,2,6.790144136973789
baseline_dequant_matmul,prefill,256,8192,11008,128,n/a,6.2818304061889645
triton_store,prefill,256,8192,11008,128,1,13.590235437665667
triton_heuristic,prefill,256,8192,11008,128,1,13.589357512337822
baseline_dequant_matmul,prefill,512,8192,11008,128,n/a,6.052799999713898
triton_store,prefill,512,8192,11008,128,1,26.604202270507812
triton_heuristic,prefill,512,8192,11008,128,1,26.602495829264324
baseline_dequant_matmul,prefill,1024,8192,11008,128,n/a,6.320264466603597
triton_store,prefill,1024,8192,11008,128,1,53.19270324707031
triton_heuristic,prefill,1024,8192,11008,128,1,53.19782257080078
